organization_id,block_id,script_id,block_order,start_offset_min,end_offset_min,block_label,what_to_say,what_to_explain,what_to_watch,what_to_fix,block_kind,drill_id,scale_level,contact_level
{{PPBF_ORG_ID}},blk_989cbc8e4523e0,scr_0d0c3b6389e8d1,1,0,1,Bring group in and set tone,"“Today is about seeing before moving. Do not guess. Do not rush. We are going to stay calm, stay balanced, and make good decisions.”","Tell athletes:
today is not about speed first
today is about control first
if they rush, they are wrong
if they stay calm and see clearly, they are right","are athletes listening
are they talking over you
are they already distracted",If attention is poor:“Eyes here. Listen first.”,arrival,,,none
{{PPBF_ORG_ID}},blk_11ed78a1cb6d98,scr_0d0c3b6389e8d1,2,1,2,Spread athletes out,,“You need enough room to move in stance without hitting anyone.”,"spacing
athletes too close
athletes standing flat footed",If spacing is poor:“Take two steps back.”“Spread out more.”,arrival,,,none
{{PPBF_ORG_ID}},blk_a68fa2ca0bfa34,scr_0d0c3b6389e8d1,3,2,4,Warm up movement in stance,"“Everybody in stance. Start moving. Small steps only. Forward, backward, left, right.”","Explain:
feet should not cross
knees slightly bent
hands up
chin down
movement should be quiet and controlled","crossing feet
standing too tall
hands dropping
heavy stomping
athletes bouncing wildly","If feet cross:“Smaller steps.”
If standing too tall:“Bend your knees a little.”
If hands drop:“Hands up while you move.”
If movement is too wild:“Calm feet. Stay under control.”",instruction,,,none
{{PPBF_ORG_ID}},blk_dbb5b4ee403658,scr_0d0c3b6389e8d1,4,4,6,Add jab to movement,"“When I say jab, throw one clean jab and keep moving. Do not stop after the punch.”
Call:
“Jab”
“Move”
“Jab”
“Move”
“Double jab”
“Move”
“Body jab”
“Move”","Explain:
jab should be straight
do not fall forward
after punching, recover stance immediately
movement continues after punch","leaning on jab
feet freezing after jab
dropping rear hand
overreaching","If they lean:“Touch with it, do not fall into it.”
If they freeze after jab:“Punch then reset your feet.”
If rear hand drops:“Other hand stays home.”
If overreaching:“Punch from balance.”",instruction,,,none
{{PPBF_ORG_ID}},blk_7bf240c24324ad,scr_0d0c3b6389e8d1,5,6,8,Add slip and visual response,"“Now when I say slip left or slip right, move your head only a small amount. Do not jump out of position.”
Call:
“Slip left”
“Move”
“Slip right”
“Jab”
“Slip left”
“Body jab”
Add fake pauses and fake cues.
Then ask one athlete:“What did you see before you moved?”","Explain:
a slip is small, not dramatic
eyes stay up
head moves first
you are not guessing off sound alone","slipping too far
bending at waist too much
stepping when they should slip
reacting before cue is clear
panic movement","If slip is too big:“Smaller. Just off line.”
If bending too much:“Eyes up. Small move.”
If feet move first:“Head first.”
If they react blindly:“See it first. Do not guess.”",instruction,,,none
{{PPBF_ORG_ID}},blk_b1c2ed33577202,scr_0d0c3b6389e8d1,6,8,9,Bring partners together for Drill 1,"“One person jabs slow. One person slips. This is a control drill, not a speed drill.”","Explain:
jab is light
slip is small
pause is real
return jab is straight
reset every rep","pair spacing
athletes who are too close
athletes who are already too fast","If too close:“One step back.”
If already rushing:“Slow down before we even start.”",instruction,,,none
{{PPBF_ORG_ID}},blk_54ec13d1c2176c,scr_0d0c3b6389e8d1,7,9,10,Demonstrate Drill 1,"“Watch the pause. That is the important part. Slip, pause, answer.”","Explain:
the pause teaches control
we are not trying to beat the punch with speed
we are learning to stay calm and correct","are athletes watching
are they nodding but not understanding",Ask:“Who goes first? What does the defender do?”Make them answer before starting.,demonstration,,,none
{{PPBF_ORG_ID}},blk_891b93f036f761,scr_0d0c3b6389e8d1,8,10,12,Drill 1 Round 1,"“Round 1. Slip and pause only. No jab back yet. Ready. Go.”
What athletes do
Partner A throws one slow jab
Partner B slips outside
Partner B pauses
reset
repeat",,"head movement size
balance
feet moving first
jab speed from feeder
reset discipline","If feeder too fast:“Feeder slow down. Help your partner learn.”
If slip too large:“Make it smaller.”
If defender moves feet first:“Head first.”
If no pause:“Freeze longer. Show me the pause.”
What to explain during round
Walk and say:“This pause is control.”“Do not rush the answer.”“Stay under yourself.”",drill_round,,,none
{{PPBF_ORG_ID}},blk_b63293c10b8d16,scr_0d0c3b6389e8d1,9,12,13,Drill 1 reset minute,“Stop. Good. Now add the jab return. Same slow pace.”,"Explain:
slip first
pause second
jab third
reset last","who is understanding sequence
who needs another demonstration",If confused:Demonstrate again immediately.,reset_minute,,,none
{{PPBF_ORG_ID}},blk_2f46429f59afd1,scr_0d0c3b6389e8d1,10,13,15,Drill 1 Round 2,"“Go. Slip, pause, jab back, reset.”",,"pause disappearing
jab becoming wide
leaning on counter
poor reset","If they fire back instantly:“Pause first.”
If jab loops:“Straight back.”
If leaning:“Stay balanced.”
If no reset:“Back to start every rep.”
What to explain while coaching
“You are not trying to win. You are trying to answer correctly.”“Small movement, clean return.”",drill_round,,,none
{{PPBF_ORG_ID}},blk_90d1a897f99517,scr_0d0c3b6389e8d1,11,15,16,Drill 1 teaching minute,"“Now if you are doing well, add a small angle step after the jab. If not, keep the basic version.”","Explain:
only advanced athletes add angle
angle is small
do not sacrifice balance for extra movement","who is ready to progress
who should stay basic",If someone adds angle badly:“Take angle out. Go back to basic.”,teaching_minute,,,none
{{PPBF_ORG_ID}},blk_a9c6554491c0c5,scr_0d0c3b6389e8d1,12,16,18,Drill 1 Round 3 optional progression,"“Go. Slip, pause, jab, small angle, reset.”",,"quality of angle
balance after angle
overcomplication","If angle becomes jumpy:“Smaller step.”“Do not hop.”
If form falls apart:“Remove the angle.”",drill_round,,,none
