organization_id,scale_id,drill_id,scale_level,is_starting_point,demand_description,constraint_applied,contact_level,coach_watch_point,authoring_state
{{PPBF_ORG_ID}},scl_3b51cb27a8e669,drl_7f812fecacfee4,A,False,"Regress by using static targets, pre-called entries, or one-shot scoring only.",,light_technical,Is the athlete repeating the target behaviour without the coach adding words.,authored
{{PPBF_ORG_ID}},scl_a7a295a8054254,drl_7f812fecacfee4,B,True,"The drill as designed: standard system level, the intended real demand, no decoration.",,light_technical,Can the athlete still respond to one cue.,authored
{{PPBF_ORG_ID}},scl_9d8216a7e55747,drl_7f812fecacfee4,C,False,"Progress by adding partner movement, delayed cues, or live target changes.",,light_technical,"Does the harder version still display the same lesson, or has it changed the problem entirely.",authored
{{PPBF_ORG_ID}},scl_fbfbe6b9156ff9,drl_2d0193a7c52e58,A,False,Regress by pre-calling the combination and removing live variability.,,light_technical,Is the athlete repeating the target behaviour without the coach adding words.,authored
{{PPBF_ORG_ID}},scl_b0c215ef932326,drl_2d0193a7c52e58,B,True,"The drill as designed: standard system level, the intended real demand, no decoration.",,light_technical,Can the athlete still respond to one cue.,authored
{{PPBF_ORG_ID}},scl_fba880ff10e648,drl_2d0193a7c52e58,C,False,Progress by making the entry live while keeping the punch cap fixed.,,light_technical,"Does the harder version still display the same lesson, or has it changed the problem entirely.",authored
{{PPBF_ORG_ID}},scl_5cecca3a21a364,drl_08c95a746f83e9,A,False,"Regress by using steady, predictable retreat patterns.",,light_technical,Is the athlete repeating the target behaviour without the coach adding words.,authored
{{PPBF_ORG_ID}},scl_2dc4e24c9d2b57,drl_08c95a746f83e9,B,True,"The drill as designed: standard system level, the intended real demand, no decoration.",,light_technical,Can the athlete still respond to one cue.,authored
{{PPBF_ORG_ID}},scl_0a63b81ddca637,drl_08c95a746f83e9,C,False,Progress by increasing partner unpredictability.,,light_technical,"Does the harder version still display the same lesson, or has it changed the problem entirely.",authored
{{PPBF_ORG_ID}},scl_0a61692ef0b291,drl_7af719b3b85e94,A,False,Regress by using lighter contact and longer pause windows.,,light_technical,Is the athlete repeating the target behaviour without the coach adding words.,authored
{{PPBF_ORG_ID}},scl_912b14a3e93b85,drl_7af719b3b85e94,B,True,"The drill as designed: standard system level, the intended real demand, no decoration.",,light_technical,Can the athlete still respond to one cue.,authored
{{PPBF_ORG_ID}},scl_f82f24ef108e28,drl_7af719b3b85e94,C,False,Progress by adding partner pressure after contact.,,light_technical,"Does the harder version still display the same lesson, or has it changed the problem entirely.",authored
