conflict_id,topic,tracks_involved,position_a,position_b,evidence_a,evidence_b,adjudication,ppbf_action,status
CT-01,External focus of attention,"A1, A2","External focus superior for performance, retention and transfer (g=0.264 / 0.583 / 0.584)",Bias-corrected reanalysis returns a null; effect may be inflated by small-study and publication bias,"Chua et al. 2021 meta-analysis, 73 studies / 1824 participants (doi 10.1037/bul0000335, PMID 34843301)",McKay et al. 2024 robust Bayesian bias-corrected meta-analysis,"UNRESOLVED IN THE LITERATURE. Do not present external focus as settled science. The practical cost of using external cues is near zero and the downside risk is low, so it remains a reasonable DEFAULT — but it must be labelled CONTESTED, not evidence-based.",Cue library ships with focus_type tagged and a CONTESTED banner. No SHADOW scoring or ranking of cues by focus type. Candidate for PPBF's own A/B retention test.,OPEN — MONITOR LITERATURE
CT-02,Contextual interference / random practice,"A1, A2","High contextual interference improves retention (54 studies) and transfer (SMD=0.55, 34 studies)",Null in one systematic review; only 20% of 183 outcomes favoured high CI in an applied 2024 review,"Czyz et al. 2024 (doi 10.1038/s41598-024-65753-3, PMID 38987617)",Ammar et al. 2023 (doi 10.1016/j.edurev.2023.100537); Ammar et al. 2024 (doi 10.1007/s10648-024-09892-z),PARTIALLY RESOLVED. The dissociation between practice performance and retention is robust and is the single most important coaching principle in this program. The MAGNITUDE and the applied-setting generalisation are contested.,"Teach the acquisition/retention dissociation as doctrine. Do not ship a numeric 'optimal interference' parameter. Session templates offer blocked-to-random progression as an option, not a prescription.",OPEN — DIRECTIONALLY USABLE
CT-03,Reduced feedback frequency,"A1, A2",Faded/reduced feedback frequency improves learning — the rule most coaches were taught,"Meta-analytic null: no significant effect at any time point, no acquisition-to-retention crossover",Classic guidance-hypothesis literature,"McKay et al. 2022, 61 papers, k=75, N=2228 (doi 10.1016/j.psychsport.2022.102165)","RESOLVED AGAINST THE TRADITIONAL RULE. This is a 'coaches should stop doing this' item — specifically, stop believing that withholding feedback is itself beneficial.",Remove any feedback-frequency prescription from session templates and SHADOW guidance. Feedback QUALITY and athlete control are better-supported levers than frequency.,RESOLVED
CT-04,Self-controlled / autonomy-supportive feedback,"A1, A2, A4",Meta-analytic retention and transfer benefit from learner-controlled feedback,Trivial effects in golf putting; preregistered replication failure for the retention benefit of choice,Self-controlled practice meta-analyses,Preregistered replication (A2-042 counter-evidence),"CONTESTED as a motor-learning effect. HOWEVER autonomy support has independent and stronger support in the motivation/adherence literature (SDT), which is a different outcome.","Justify autonomy-supportive coaching on ADHERENCE and coach-athlete relationship grounds (well supported), not on motor-learning grounds (contested). This distinction must appear in the coach education material.",RESOLVED BY SEPARATING OUTCOMES
CT-05,Aggression: does boxing increase or decrease it?,"A4, B1",Martial arts participation reduces anger/aggression,Power-sport participation associated with antisocial/aggressive outcomes in a longitudinal cohort,"Systematic review, mixed findings (doi 10.1016/j.avb.2021.101611); Nosanchuk 1981/1989 traditional-training effect","Longitudinal Norwegian cohort, male-only, power sports","GENUINELY BIDIRECTIONAL. Moderators (traditional vs modern instruction, coach behaviour, climate) are the plausible mechanism but are not established for boxing.","PROHIBITED CLAIM: PPBF marketing, grant applications and the app must NOT state that boxing reduces aggression. Permitted statement: evidence is mixed and program design likely matters. This is a governance rule, added to the claim-review gate.",RESOLVED AS PROHIBITED CLAIM
CT-06,Acute:Chronic Workload Ratio,"A5, A8, B6",ACWR is a usable injury-risk monitoring tool,"ACWR is statistically flawed — coupling produces spurious correlation, thresholds are arbitrary",PMID 31691167 and supporting reviews,PMID 29101104 (coupling/spurious correlation); PMID 31672926 and related critiques,"CONTESTED, LEANING AGAINST. The critique is methodological and has not been rebutted at the level it was made.",SHADOW must NOT compute an ACWR threshold or a risk flag from it. Log raw load; display trend and monotony descriptively with n visible. Capability module 022 (Injury Risk Engine) and 014 (Load Management) must be re-scoped to descriptive monitoring. Added to do-not-build-yet.,RESOLVED — DO NOT IMPLEMENT AS DECISION RULE
CT-07,Neck strength and concussion risk,A5,Neck strengthening reduces concussion risk — widely promoted in combat sport,"Meta-analysis found no significant strength differences across five planes; 3 of 2462 papers had injury outcomes, none showed protection",Popular/vendor and some practitioner literature,PMID 41524441 and the systematic screen,"RESOLVED AGAINST THE PROTECTIVE CLAIM. Neck training may be justified for other reasons (performance, tolerance of routine loading) but not as concussion prevention.",PROHIBITED CLAIM. Neck work may appear in programming; the app and coach material must not attribute concussion protection to it.,RESOLVED AS PROHIBITED CLAIM
CT-08,Headguards in amateur boxing,"A3, A5, A6",Laboratory biomechanics show headguards reduce linear head acceleration (~130g bare vs ~85g with headguard),Stoppages due to head blows DECREASED after headguard removal; ringside physicians state headguards should not be relied on for concussion prevention,PMID 26175022,PMID 27116592 with response letter PMID 27740948; Association of Ringside Physicians position (A5),ACTIVELY CONTESTED AND JURISDICTION-DEPENDENT. Laboratory attenuation of linear acceleration does not equal concussion prevention in competition; headguards may alter behaviour and target profile.,"PPBF follows the governing body rule for the division, full stop. The app stores headguard requirement as DATED REFERENCE DATA per jurisdiction/division, never as a computed safety recommendation. No PPBF claim that headguards prevent concussion.","RESOLVED AS RULE-FOLLOWING, NOT INFERENCE"
CT-09,CTE in boxing,"A3, A5",Consensus neuropathological criteria establish CTE as a distinct pathological entity,Published argument that 'CTE is not a real disease' as a clinical syndrome,PMID 36759368,PMID 30169776,SPLIT THE CLAIM. Pathology in exposed populations: established. Individual-level clinical prediction from exposure: not established. Both rows retained deliberately in the registry.,"PPBF may state that repeated head impacts carry long-term risk and that reducing unnecessary head contact is prudent. PPBF must NOT estimate any individual's CTE risk, and SHADOW must never compute one. Head-impact exposure is logged as a countable proxy only.",RESOLVED BY SPLITTING THE CLAIM
CT-10,ISSN weight-cutting position stand vs PPBF policy,"A7, A3","The 2025 ISSN position stand describes acute weight-loss methods (sauna, hot water immersion, wraps, water loading) as practices to be managed","PPBF's youth and community context requires prohibition, and the youth RWL literature recommends banning the practice in this population",PMID 40059405,Youth RWL systematic reviews; PMID 30299200 (only 3.5% of participants female),NOT A SCIENTIFIC CONFLICT — A SCOPE CONFLICT. The position stand addresses adult professional/elite combat athletes with medical supervision. PPBF's population is youth and community adults without that infrastructure.,"PPBF policy prohibits youth weight cutting outright and does not provide adult cutting protocols. The weight_management_safety_policy.md draft must state explicitly that it DEPARTS from the ISSN stand on scope grounds, and why — so the departure is documented rather than looking like ignorance of the literature.",RESOLVED AS DOCUMENTED SCOPE DEPARTURE
