document_id,source_id,organization_id,subject_id,document_name,blob_path,content_sha256,ingest_state,approval_state,verification_state,extraction_error,metadata,created_by_account_id,created_by_role
doc_879fb482a081390e,src_6563c68e39047128,{{PPBF_ORG_ID}},,PPBF Research Program 2026-08-07 — Track A1: Motor learning & practice design,,dd15f5829f345317859bcb5662f687351cb6f8733176d42c893dda90e47e36d2,pending,pending_review,unverified,,"{""track_code"": ""A1"", ""track_name"": ""Motor learning & practice design"", ""program"": ""PPBF boxing learning + gym operations research"", ""generated"": "" 2026-08-07"", ""provenance"": ""synthesis text authored by the research program; NOT publisher full text""}",{{SEED_ACCOUNT_ID}},platform_owner
doc_df32c7039590656a,src_6563c68e39047128,{{PPBF_ORG_ID}},,PPBF Research Program 2026-08-07 — Track A2: Technical curriculum & rubrics,,804c329179dfe5c4f8bb44c933ec74bff0d82436b190187ff150eec485dd657c,pending,pending_review,unverified,,"{""track_code"": ""A2"", ""track_name"": ""Technical curriculum & rubrics"", ""program"": ""PPBF boxing learning + gym operations research"", ""generated"": "" 2026-08-07"", ""provenance"": ""synthesis text authored by the research program; NOT publisher full text""}",{{SEED_ACCOUNT_ID}},platform_owner
doc_f5970d28b0eaba64,src_6563c68e39047128,{{PPBF_ORG_ID}},,"PPBF Research Program 2026-08-07 — Track A3: Stages, pathways & regulation",,cdd68f9f9bf795d76f5dcc5717463f11fabe1a8941b7bc405ab238819326081f,pending,pending_review,unverified,,"{""track_code"": ""A3"", ""track_name"": ""Stages, pathways & regulation"", ""program"": ""PPBF boxing learning + gym operations research"", ""generated"": "" 2026-08-07"", ""provenance"": ""synthesis text authored by the research program; NOT publisher full text""}",{{SEED_ACCOUNT_ID}},platform_owner
doc_470329e1931d3eec,src_6563c68e39047128,{{PPBF_ORG_ID}},,PPBF Research Program 2026-08-07 — Track A4: Psychology & life transfer,,952b16fbbe2330b0a65734c7791660f2f0245d602e0d1a39567b807cbca853d7,pending,pending_review,unverified,,"{""track_code"": ""A4"", ""track_name"": ""Psychology & life transfer"", ""program"": ""PPBF boxing learning + gym operations research"", ""generated"": "" 2026-08-07"", ""provenance"": ""synthesis text authored by the research program; NOT publisher full text""}",{{SEED_ACCOUNT_ID}},platform_owner
doc_7637f7954f1fe462,src_6563c68e39047128,{{PPBF_ORG_ID}},,"PPBF Research Program 2026-08-07 — Track A5: Physical prep, load & risk",,2191d766203f06d8a7f3e160c1b406f7b4a203ef36c6db93d7d00e25d7afcb3e,pending,pending_review,unverified,,"{""track_code"": ""A5"", ""track_name"": ""Physical prep, load & risk"", ""program"": ""PPBF boxing learning + gym operations research"", ""generated"": "" 2026-08-07"", ""provenance"": ""synthesis text authored by the research program; NOT publisher full text""}",{{SEED_ACCOUNT_ID}},platform_owner
doc_d0a49078deba36e9,src_6563c68e39047128,{{PPBF_ORG_ID}},,"PPBF Research Program 2026-08-07 — Track A6: Gym craft, wrapping & equipment",,abaca9ea1adacfb09deffd165e769aea0d49adbb53eab7c697a2f9d94aa6b56d,pending,pending_review,unverified,,"{""track_code"": ""A6"", ""track_name"": ""Gym craft, wrapping & equipment"", ""program"": ""PPBF boxing learning + gym operations research"", ""generated"": "" 2026-08-07"", ""provenance"": ""synthesis text authored by the research program; NOT publisher full text""}",{{SEED_ACCOUNT_ID}},platform_owner
doc_5e108f4e7e56d198,src_6563c68e39047128,{{PPBF_ORG_ID}},,PPBF Research Program 2026-08-07 — Track A7: Performance nutrition,,380ac19218f151dbb254c5103c3d8de25f567ee51c0dbb198e515c0d9ceb655f,pending,pending_review,unverified,,"{""track_code"": ""A7"", ""track_name"": ""Performance nutrition"", ""program"": ""PPBF boxing learning + gym operations research"", ""generated"": "" 2026-08-07"", ""provenance"": ""synthesis text authored by the research program; NOT publisher full text""}",{{SEED_ACCOUNT_ID}},platform_owner
doc_cbfac72e7a7fe08e,src_6563c68e39047128,{{PPBF_ORG_ID}},,PPBF Research Program 2026-08-07 — Track A8: Video ontology & measurement crosswalk,,3cdcb04a8cfc32d37f592724252961d4c64abfa1a66b060f515cf3727cbb0acd,pending,pending_review,unverified,,"{""track_code"": ""A8"", ""track_name"": ""Video ontology & measurement crosswalk"", ""program"": ""PPBF boxing learning + gym operations research"", ""generated"": "" 2026-08-07"", ""provenance"": ""synthesis text authored by the research program; NOT publisher full text""}",{{SEED_ACCOUNT_ID}},platform_owner
doc_43953e459d5593a3,src_6563c68e39047128,{{PPBF_ORG_ID}},,PPBF Research Program 2026-08-07 — Track B1: Operating models & safeguarding,,a4277226731449a57381ed4d19dbdb21e1e80e313fffeb5ac4038667da051c69,pending,pending_review,unverified,,"{""track_code"": ""B1"", ""track_name"": ""Operating models & safeguarding"", ""program"": ""PPBF boxing learning + gym operations research"", ""generated"": "" 2026-08-07"", ""provenance"": ""synthesis text authored by the research program; NOT publisher full text""}",{{SEED_ACCOUNT_ID}},platform_owner
doc_8888f5ab7098d388,src_6563c68e39047128,{{PPBF_ORG_ID}},,"PPBF Research Program 2026-08-07 — Track B2: Staffing, capacity & station templates",,1a1289538adfc466bb7044548b1f82eff981531b6c890547b3ddadb1418cb0aa,pending,pending_review,unverified,,"{""track_code"": ""B2"", ""track_name"": ""Staffing, capacity & station templates"", ""program"": ""PPBF boxing learning + gym operations research"", ""generated"": "" 2026-08-07"", ""provenance"": ""synthesis text authored by the research program; NOT publisher full text""}",{{SEED_ACCOUNT_ID}},platform_owner
doc_7b104a6700d8242a,src_6563c68e39047128,{{PPBF_ORG_ID}},,PPBF Research Program 2026-08-07 — Track B3: Operations SOP & incidents,,6a0948e26dc24bdaf3fcace6e91d1d9de9bbd6506a6716d30dea79ef5faf3f20,pending,pending_review,unverified,,"{""track_code"": ""B3"", ""track_name"": ""Operations SOP & incidents"", ""program"": ""PPBF boxing learning + gym operations research"", ""generated"": "" 2026-08-07"", ""provenance"": ""synthesis text authored by the research program; NOT publisher full text""}",{{SEED_ACCOUNT_ID}},platform_owner
doc_378426aaad0243f7,src_6563c68e39047128,{{PPBF_ORG_ID}},,"PPBF Research Program 2026-08-07 — Track B4: KPIs, retention & dashboards",,ace6d6c8c9eb0906dfa37af89114f3c42c03b8ca1e8cb612570ac042a498178c,pending,pending_review,unverified,,"{""track_code"": ""B4"", ""track_name"": ""KPIs, retention & dashboards"", ""program"": ""PPBF boxing learning + gym operations research"", ""generated"": "" 2026-08-07"", ""provenance"": ""synthesis text authored by the research program; NOT publisher full text""}",{{SEED_ACCOUNT_ID}},platform_owner
doc_d538536c5a9101da,src_6563c68e39047128,{{PPBF_ORG_ID}},,PPBF Research Program 2026-08-07 — Track B5: Finance & sustainability,,757431eb40b4cf36bc4e0537e6e4458fa9003bc2d8a7231f471274721eba3d30,pending,pending_review,unverified,,"{""track_code"": ""B5"", ""track_name"": ""Finance & sustainability"", ""program"": ""PPBF boxing learning + gym operations research"", ""generated"": "" 2026-08-07"", ""provenance"": ""synthesis text authored by the research program; NOT publisher full text""}",{{SEED_ACCOUNT_ID}},platform_owner
doc_2ddc7cdb76299d3c,src_6563c68e39047128,{{PPBF_ORG_ID}},,PPBF Research Program 2026-08-07 — Track B6: Ops data crosswalk & authority,,8d7473d7fece5dae4fde2e7a74ae71fd3c3defda94ea2b66ea0717b913936f88,pending,pending_review,unverified,,"{""track_code"": ""B6"", ""track_name"": ""Ops data crosswalk & authority"", ""program"": ""PPBF boxing learning + gym operations research"", ""generated"": "" 2026-08-07"", ""provenance"": ""synthesis text authored by the research program; NOT publisher full text""}",{{SEED_ACCOUNT_ID}},platform_owner
