evidence_class,authority_tier,boxing_specificity,claims,resulting_evidence_tier
COACHING/FILM-STUDY INTERPRETATION,1,transferred,1,EXPERIMENTAL
COACHING/FILM-STUDY INTERPRETATION,3,boxing_specific,1,EXPERIMENTAL
COACHING/FILM-STUDY INTERPRETATION,3,transferred,8,EXPERIMENTAL
COACHING/FILM-STUDY INTERPRETATION,4,boxing_specific,3,EXPERIMENTAL
COACHING/FILM-STUDY INTERPRETATION,4,transferred,2,EXPERIMENTAL
COACHING/FILM-STUDY INTERPRETATION,5,boxing_specific,1,EXPERIMENTAL
CONTESTED PRACTICE,1,transferred,2,EXPERIMENTAL
CONTESTED PRACTICE,2,boxing_specific,1,EXPERIMENTAL
CONTESTED PRACTICE,2,partly_boxing_specific,1,EXPERIMENTAL
CONTESTED PRACTICE,2,transferred,6,EXPERIMENTAL
CONTESTED PRACTICE,3,transferred,12,EXPERIMENTAL
CONTESTED PRACTICE,4,boxing_specific,3,EXPERIMENTAL
CONTESTED PRACTICE,4,partly_boxing_specific,2,EXPERIMENTAL
CONTESTED PRACTICE,4,transferred,6,EXPERIMENTAL
CONTESTED PRACTICE,5,transferred,1,EXPERIMENTAL
HYPOTHESIS REQUIRING TESTING,1,transferred,1,EXPERIMENTAL
HYPOTHESIS REQUIRING TESTING,2,transferred,3,EXPERIMENTAL
HYPOTHESIS REQUIRING TESTING,3,boxing_specific,2,EXPERIMENTAL
HYPOTHESIS REQUIRING TESTING,3,transferred,7,EXPERIMENTAL
HYPOTHESIS REQUIRING TESTING,4,boxing_specific,1,EXPERIMENTAL
HYPOTHESIS REQUIRING TESTING,4,partly_boxing_specific,1,EXPERIMENTAL
HYPOTHESIS REQUIRING TESTING,4,transferred,7,EXPERIMENTAL
INSUFFICIENT EVIDENCE,1,boxing_specific,3,RESEARCH_NEEDED
INSUFFICIENT EVIDENCE,2,transferred,3,RESEARCH_NEEDED
INSUFFICIENT EVIDENCE,3,boxing_specific,9,RESEARCH_NEEDED
INSUFFICIENT EVIDENCE,4,transferred,1,RESEARCH_NEEDED
INSUFFICIENT EVIDENCE,5,boxing_specific,19,RESEARCH_NEEDED
INSUFFICIENT EVIDENCE,5,transferred,20,RESEARCH_NEEDED
STRONG EVIDENCE-SUPPORTED INFERENCE,1,boxing_specific,1,EMERGING
STRONG EVIDENCE-SUPPORTED INFERENCE,1,transferred,2,EMERGING
STRONG EVIDENCE-SUPPORTED INFERENCE,2,partly_boxing_specific,1,EMERGING
STRONG EVIDENCE-SUPPORTED INFERENCE,2,transferred,2,EMERGING
STRONG EVIDENCE-SUPPORTED INFERENCE,3,boxing_specific,1,EMERGING
STRONG EVIDENCE-SUPPORTED INFERENCE,3,partly_boxing_specific,1,EMERGING
STRONG EVIDENCE-SUPPORTED INFERENCE,3,transferred,26,EMERGING
STRONG EVIDENCE-SUPPORTED INFERENCE,4,boxing_specific,5,EXPERIMENTAL
STRONG EVIDENCE-SUPPORTED INFERENCE,4,partly_boxing_specific,5,EXPERIMENTAL
STRONG EVIDENCE-SUPPORTED INFERENCE,4,transferred,13,EXPERIMENTAL
STRONG EVIDENCE-SUPPORTED INFERENCE,5,partly_boxing_specific,1,EXPERIMENTAL
VERIFIED EVIDENCE,1,boxing_specific,88,PROVEN
VERIFIED EVIDENCE,1,partly_boxing_specific,6,EMERGING
VERIFIED EVIDENCE,1,transferred,105,EMERGING
VERIFIED EVIDENCE,2,boxing_specific,27,PROVEN
VERIFIED EVIDENCE,2,partly_boxing_specific,34,EMERGING
VERIFIED EVIDENCE,2,transferred,154,EMERGING
VERIFIED EVIDENCE,3,boxing_specific,172,EMERGING
VERIFIED EVIDENCE,3,partly_boxing_specific,33,EMERGING
VERIFIED EVIDENCE,3,ppbf_specific,4,EMERGING
VERIFIED EVIDENCE,3,transferred,254,EMERGING
VERIFIED EVIDENCE,4,boxing_specific,37,EXPERIMENTAL
VERIFIED EVIDENCE,4,partly_boxing_specific,7,EXPERIMENTAL
VERIFIED EVIDENCE,4,transferred,81,EXPERIMENTAL
VERIFIED EVIDENCE,5,boxing_specific,2,EXPERIMENTAL
VERIFIED EVIDENCE,5,transferred,4,EXPERIMENTAL
