capability_map_id,organization_id,capability_key,required_source_types,minimum_authority_tier,minimum_source_count,coverage_state,_usable,_boxing_usable,_boxing_ratio,_gaps,_contested,_feeder_tracks,_coverage_reason
cap_6f7b017936cd3638,{{PPBF_ORG_ID}},motor_learning_practice_design,{peer_reviewed},2,3,partial,25,2,0.08,3,3,A1,only 8% of usable evidence is boxing-specific (floor 20%) — rests on transfer
cap_91d8fe7073485076,{{PPBF_ORG_ID}},coach_cue_feedback,{peer_reviewed},3,3,partial,39,5,0.13,3,3,A1,only 13% of usable evidence is boxing-specific (floor 20%) — rests on transfer
cap_c467f555dc855826,{{PPBF_ORG_ID}},technical_curriculum,"{peer_reviewed,governing_body}",3,3,covered,81,54,0.67,3,5,A2,meets all thresholds
cap_7ed2619618f4a558,{{PPBF_ORG_ID}},skill_assessment_rubrics,{peer_reviewed},3,3,covered,78,51,0.65,3,5,A2,meets all thresholds
cap_31e077f31643c536,{{PPBF_ORG_ID}},stage_pathway_progression,"{governing_body,peer_reviewed}",2,3,covered,46,26,0.57,2,5,A3,meets all thresholds
cap_11e2dc068be7764f,{{PPBF_ORG_ID}},regulatory_eligibility_reference,{governing_body},1,3,covered,55,55,1.0,11,7,A3|A6,meets all thresholds
cap_cc4c766934fba144,{{PPBF_ORG_ID}},session_design_templates,"{peer_reviewed,governing_body}",3,3,covered,112,69,0.62,9,5,A3|B2,meets all thresholds
cap_efe65e800f8daa23,{{PPBF_ORG_ID}},psychology_motivation,{peer_reviewed},2,3,partial,29,2,0.07,1,3,A4,only 7% of usable evidence is boxing-specific (floor 20%) — rests on transfer
cap_cf598522e8a8f8f9,{{PPBF_ORG_ID}},life_skill_transfer,{peer_reviewed},2,3,partial,29,2,0.07,1,3,A4,only 7% of usable evidence is boxing-specific (floor 20%) — rests on transfer
cap_405de5c4d4efd7cc,{{PPBF_ORG_ID}},safeguarding_boundaries,"{governing_body,clinical_guideline}",1,3,covered,35,8,0.23,10,6,A4|B1|B3,meets all thresholds
cap_3e2efee0692aaae4,{{PPBF_ORG_ID}},physical_preparation,"{peer_reviewed,clinical_guideline}",2,3,covered,47,15,0.32,0,5,A5,meets all thresholds
cap_8513610fe245683c,{{PPBF_ORG_ID}},load_monitoring,{peer_reviewed},2,3,covered,38,13,0.34,0,5,A5,meets all thresholds
cap_06e2419eb2ed2bed,{{PPBF_ORG_ID}},injury_head_impact_risk,"{peer_reviewed,clinical_guideline}",1,3,partial,15,2,0.13,2,10,A5|A3,only 13% of usable evidence is boxing-specific (floor 20%) — rests on transfer; 10 contested claims against 15 usable sources
cap_d6465b9daa29626e,{{PPBF_ORG_ID}},hand_wrapping_sop,{governing_body},1,3,covered,37,37,1.0,9,2,A6,meets all thresholds
cap_9d50a4a3a31a5072,{{PPBF_ORG_ID}},equipment_specification,{governing_body},1,3,covered,37,37,1.0,9,2,A6,meets all thresholds
cap_d22d619127e51b50,{{PPBF_ORG_ID}},corner_competition_craft,{governing_body},1,3,covered,37,37,1.0,9,2,A6,meets all thresholds
cap_d624e2bcbc6ff94c,{{PPBF_ORG_ID}},performance_nutrition,"{clinical_guideline,peer_reviewed}",1,3,partial,19,2,0.11,2,4,A7,only 11% of usable evidence is boxing-specific (floor 20%) — rests on transfer
cap_1b82cf7afffba890,{{PPBF_ORG_ID}},weight_management_safety,"{clinical_guideline,governing_body}",1,3,covered,26,7,0.27,2,4,A7,meets all thresholds
cap_f8eb4b6d0158b3d4,{{PPBF_ORG_ID}},video_annotation_ontology,{peer_reviewed},3,3,covered,60,35,0.58,3,0,A8,meets all thresholds
cap_49ca095dbd549667,{{PPBF_ORG_ID}},measurement_feasibility,{peer_reviewed},3,3,covered,60,35,0.58,3,0,A8,meets all thresholds
cap_c30f7e2756a94151,{{PPBF_ORG_ID}},operating_models,{peer_reviewed},3,3,covered,43,9,0.21,5,0,B1,meets all thresholds
cap_d2185f89c521a516,{{PPBF_ORG_ID}},staffing_supervision_ratios,"{governing_body,clinical_guideline}",1,3,partial,22,7,0.32,12,0,B2|B1,12 documented INSUFFICIENT-EVIDENCE gaps against 22 usable sources
cap_200e6c82c99fd440,{{PPBF_ORG_ID}},capacity_planning,{peer_reviewed},3,3,partial,13,4,0.31,7,0,B2,7 documented INSUFFICIENT-EVIDENCE gaps against 13 usable sources
cap_e9351cd50203fdbd,{{PPBF_ORG_ID}},gym_operations_sop,"{clinical_guideline,governing_body}",2,3,covered,16,4,0.25,4,3,B3,meets all thresholds
cap_02ea4866bce925d5,{{PPBF_ORG_ID}},emergency_medical_response,{clinical_guideline},1,3,partial,10,1,0.1,4,3,B3,only 10% of usable evidence is boxing-specific (floor 20%) — rests on transfer
cap_2aa7458853e350f8,{{PPBF_ORG_ID}},hygiene_infection_control,"{clinical_guideline,peer_reviewed}",2,3,covered,20,5,0.25,4,3,B3,meets all thresholds
cap_d7ec145b92dfdadd,{{PPBF_ORG_ID}},kpi_success_measurement,{peer_reviewed},3,3,covered,28,9,0.32,6,1,B4,meets all thresholds
cap_710a45fd46b84493,{{PPBF_ORG_ID}},retention_analysis,{peer_reviewed},3,3,covered,28,9,0.32,6,1,B4,meets all thresholds
cap_26da87a2da342b9e,{{PPBF_ORG_ID}},finance_sustainability,"{peer_reviewed,governing_body}",3,3,partial,44,1,0.02,0,3,B5,only 2% of usable evidence is boxing-specific (floor 20%) — rests on transfer
cap_6527293a3002e1f7,{{PPBF_ORG_ID}},operational_data_model,{internal_policy},3,3,uncovered,0,0,0.0,10,0,B6,no usable evidence at required authority tier
