claim_id,track,topic,claim,evidence_class,confidence,population,competitive_level,sex,age_range,study_design,sample_size,effect_or_estimate,boxing_specific,transfer_status,limitations,source_type,citation,doi_or_pmid,url,verification,ppbf_implication,tbd_flag,agent,independent_verification_status,independent_verification_detail,verified_title,track_name,title_consistency_check
PS-001,,,"In boxers performing a hard training session, session-RPE measured at 10 minutes (5.7 ± 1.0 AU) did not significantly differ from session-RPE measured at 30 minutes (5.8 ± 1.9 AU), despite %HRR of 88.1 ± 6.3 (10 min) vs. 83.3 ± 8.0 (30 min) and ∆Blood lactate of 146.3 ± 87.9% (10 min) vs. 91.6 ± 39% (30 min).",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,Eight boxers,,,,"Matched-pairs, randomized research design",,"10 minutes: session-RPE = 5.7 ± 1.0 AU, %HRR = 88.1 ± 6.3, ∆Blood lactate = 146.3 ± 87.9%; 30 minutes: session-RPE = 5.8 ± 1.9 AU, %HRR = 83.3 ± 8.0, ∆Blood lactate = 91.6 ± 39%",YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Does the Timing of Measurement Alter Session-RPE in Boxers? Journal of sports science & medicine ({'ye).,PMID 24570606,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 24570606 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 24570606,Does the Timing of Measurement Alter Session-RPE in Boxers?,Penn State full-text extraction,
PS-002,,,"In boxers performing a moderate training session, session-RPE measured at 10 minutes (2.7 ± 1.6 AU) did not significantly differ from session-RPE measured at 30 minutes (2.5 ± 0.9 AU), with %HRR of 67.2 ± 10.8 (10 min) vs. 67.2 ± 5.9 (30 min) and ∆Blood lactate of 2.2 ± 19% (10 min) vs. 24.5 ± 17.1% (30 min).",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,Eight boxers,,,,"Matched-pairs, randomized research design",,"10 minutes: session-RPE = 2.7 ± 1.6 AU, %HRR = 67.2 ± 10.8, ∆Blood lactate = 2.2 ± 19%; 30 minutes: session-RPE = 2.5 ± 0.9 AU, %HRR = 67.2 ± 5.9, ∆Blood lactate = 24.5 ± 17.1%",YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Does the Timing of Measurement Alter Session-RPE in Boxers? Journal of sports science & medicine ({'ye).,PMID 24570606,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 24570606 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 24570606,Does the Timing of Measurement Alter Session-RPE in Boxers?,Penn State full-text extraction,
PS-003,,,"In boxers performing an easy training session, session-RPE measured at 10 minutes (1.3 ± 1.0 AU) did not significantly differ from session-RPE measured at 30 minutes (1.7 ± 1.0 AU), with %HRR of 49.5 ± 11.1 (10 min) vs. 51.3 ± 10.8 (30 min) and ∆Blood lactate of -2",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,,,,,,,,NO,transferred from other sport/population,,peer-reviewed journal article,Does the Timing of Measurement Alter Session-RPE in Boxers? Journal of sports science & medicine ({'ye).,PMID 24570606,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 24570606 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 24570606,Does the Timing of Measurement Alter Session-RPE in Boxers?,Penn State full-text extraction,
PS-004,,,"Blood lactate concentration was significantly higher in the pad trial (2.7 ± 0.8 mmol·L⁻¹) than the bag trial (2.3 ± 0.9 mmol·L⁻¹), increasing significantly across rounds.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"14 male elite amateur boxers, age 22 ± 2 years, height 176.9 ± 7.3 cm, body mass 78.8 ± 8.7 kg, V̇O2max 55.94 ± 5.96 ml·kg⁻¹·min⁻¹",,,,NONE STATED (comparison of two trials — pad routine vs. punch bag routine — using the Boxing-Specific Exercise Protocol; specific design term not stated in this text),,pad = 2.7 ± 0.8 mmol·L⁻¹; bag = 2.3 ± 0.9 mmol·L⁻¹,YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Physical Response to Pad- and Bag-Based Boxing-Specific Training Modalities. Journal of strength and conditioning researc ({'ye).,PMID 30358696 | DOI 10.1519/JSC.0000000000002928,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 30358696 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 30358696 | DOI 10.1519/JSC.0000000000002928,Physical Response to Pad- and Bag-Based Boxing-Specific Training Modalities.,Penn State full-text extraction,
PS-005,,,"Average heart rate and average oxygen consumption were higher in the pad trial than the bag trial (HRave: pad = 160 ± 9 b·min⁻¹, bag = 150 ± 16 b·min⁻¹; V̇O2ave: pad = 38.00 ± 0.31 ml·kg⁻¹·min⁻¹, bag = 34.40 ± 1.06 ml·kg⁻¹·min⁻¹).",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,"14 male elite amateur boxers, age 22 ± 2 years, height 176.9 ± 7.3 cm, body mass 78.8 ± 8.7 kg, V̇O2max 55.94 ± 5.96 ml·kg⁻¹·min⁻¹",,,,NONE STATED,,"HRave: pad = 160 ± 9 b·min⁻¹, bag = 150 ± 16 b·min⁻¹; V̇O2ave: pad = 38.00 ± 0.31 ml·kg⁻¹·min⁻¹, bag = 34.40 ± 1.06 ml·kg⁻¹·min⁻¹",YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Physical Response to Pad- and Bag-Based Boxing-Specific Training Modalities. Journal of strength and conditioning researc ({'ye).,PMID 30358696 | DOI 10.1519/JSC.0000000000002928,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 30358696 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 30358696 | DOI 10.1519/JSC.0000000000002928,Physical Response to Pad- and Bag-Based Boxing-Specific Training Modalities.,Penn State full-text extraction,
PS-006,,,"The triaxial (PLTotal) and medial-lateral (PLML) PlayerLoad metrics were higher in the punch bag trial than the pad trial, with a main effect for time for all PlayerLoad metrics, and PLTotal, PLML, and vertical PlayerLoad were significantly higher in the lumbar region than the cervical region.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,,,,,,,,NO,transferred from other sport/population,,peer-reviewed journal article,Physical Response to Pad- and Bag-Based Boxing-Specific Training Modalities. Journal of strength and conditioning researc ({'ye).,PMID 30358696 | DOI 10.1519/JSC.0000000000002928,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 30358696 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 30358696 | DOI 10.1519/JSC.0000000000002928,Physical Response to Pad- and Bag-Based Boxing-Specific Training Modalities.,Penn State full-text extraction,
PS-007,,,"Both isometric (ISO) and elastic resistance (ER) conditioning activities, but not the control trial, produced small worthwhile increases in punch force (effect size ≥ 0.20, equal to or greater than the smallest worthwhile change).",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,10 male senior elite amateur boxers,,,,"Boxers performed conditioning activities (ISO punch, ER punch, control) on 3 separate occasions before a boxing-specific simulation protocol",,effect size ≥ 0.20 (equal to or greater than the smallest worthwhile change),YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,"Post-Activation Performance Enhancement of Punch Force and Neuromuscular Performance in Amateur Boxing: Toward a More Individualized and ""Real-World""  Journal of strength and conditioning researc ({'ye).",PMID 38349345 | DOI 10.1519/JSC.0000000000004740,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 38349345 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 38349345 | DOI 10.1519/JSC.0000000000004740,"Post-Activation Performance Enhancement of Punch Force and Neuromuscular Performance in Amateur Boxing: Toward a More Individualized and ""Real-World"" ",Penn State full-text extraction,
PS-008,,,Worthwhile increases in rate of force development (RFD) were limited to the cross during the ISO trial.,STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,10 male senior elite amateur boxers,,,,"Boxers performed conditioning activities (ISO punch, ER punch, control) on 3 separate occasions before a boxing-specific simulation protocol",,NONE STATED,YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,"Post-Activation Performance Enhancement of Punch Force and Neuromuscular Performance in Amateur Boxing: Toward a More Individualized and ""Real-World""  Journal of strength and conditioning researc ({'ye).",PMID 38349345 | DOI 10.1519/JSC.0000000000004740,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 38349345 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 38349345 | DOI 10.1519/JSC.0000000000004740,"Post-Activation Performance Enhancement of Punch Force and Neuromuscular Performance in Amateur Boxing: Toward a More Individualized and ""Real-World"" ",Penn State full-text extraction,
PS-009,,,"Individual analysis revealed that 6 boxers improved punch-specific performance to the greatest extent in the ISO trial, only 1 boxer did so in the ER trial, and 3 boxers exhibited similar performance increases across trials; no group-based improvements in countermovement jump (CMJ) performance were observed.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,10 male senior elite amateur boxers,,,,"Boxers performed conditioning activities (ISO punch, ER punch, control) on 3 separate occasions before a boxing-specific simulation protocol, with CMJ and maximal punches measured at baseline, before round 1, after each round, and 4 minutes after the simulation",,"6 boxers (ISO), 1 boxer (ER), 3 boxers (similar across trials); no group-based improvements in CMJ",YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,"Post-Activation Performance Enhancement of Punch Force and Neuromuscular Performance in Amateur Boxing: Toward a More Individualized and ""Real-World""  Journal of strength and conditioning researc ({'ye).",PMID 38349345 | DOI 10.1519/JSC.0000000000004740,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 38349345 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 38349345 | DOI 10.1519/JSC.0000000000004740,"Post-Activation Performance Enhancement of Punch Force and Neuromuscular Performance in Amateur Boxing: Toward a More Individualized and ""Real-World"" ",Penn State full-text extraction,
PS-010,,,"Peak punch force was significantly and moderately correlated with body mass, and significantly related to forces measured in the countermovement jump (CMJ) and isometric midthigh pull (IMTP) tests, showing a moderate to strong positive correlation with lower-body strength.",STRONG EVIDENCE-SUPPORTED INFERENCE,moderate,28 highly trained male amateur boxers,,,,"Correlation and regression analyses (cross-sectional study using a 3-minute maximal effort punch test with a custom-built punch integrator, alongside countermovement bench throw, isometric bench push, CMJ, and IMTP tests)",,"NONE STATED (text states relationships were ""significant (p < 0.05)"" and ""moderately and significantly correlated"" and ""moderate to strong positive and significant correlation"" but no exact correlation coefficients are given in this excerpt)",YES,boxing-specific — direct,NONE STATED,peer-reviewed journal article,Relationships Between Punch Impact Force and Upper- and Lower-Body Muscular Strength and Power in Highly Trained Amateur Boxers. Journal of strength and conditioning researc ({'ye).,PMID 32218063 | DOI 10.1519/JSC.0000000000003585,,"Full text supplied by user (Penn State Library). Parsed text extraction 2026-08-08; PMID 32218063 independently resolved via PubMed, title match 1.00; every numeric value verified present in the source text.",,,PS,RESOLVED,PMID 32218063 | DOI 10.1519/JSC.0000000000003585,Relationships Between Punch Impact Force and Upper- and Lower-Body Muscular Strength and Power in Highly Trained Amateur Boxers.,Penn State full-text extraction,
