agent,track_name,claims,resolved,boxing,pct_boxing
A1,Motor learning & practice design,70,68,11,16
A2,Technical curriculum & rubrics,100,97,46,46
A3,"Stages, pathways & regulation",118,95,62,53
A4,Psychology & life transfer,95,94,1,1
A5,"Physical prep, load & risk",151,147,57,38
A6,"Gym craft, wrapping & equipment",101,60,72,71
A7,Performance nutrition,78,71,10,13
A8,Video ontology & measurement crosswalk,80,68,39,49
B1,Operating models & safeguarding,85,66,13,15
B2,"Staffing, capacity & station templates",58,24,23,40
B3,Operations SOP & incidents,63,51,14,22
B4,"KPIs, retention & dashboards",43,36,17,40
B5,Finance & sustainability,60,37,1,2
B6,Ops data crosswalk & authority,91,75,10,11
