organization_id,transfer_id,drill_id,block_id,script_id,claim_kind,statement,named_structure,evidence_class,registry_claim_id,source_document,athlete_facing,public_facing
{{PPBF_ORG_ID}},txf_3519cbaf758dd7,drl_0871d69fccd12f,,,neuro_mechanism,"Sensorimotor timing, bilateral coordination, and dynamic balance",,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_62156635b2afa7,drl_0871d69fccd12f,,,life_skill_transfer,Pacing and persistence — transfers as: Reset after mistakes and continue without quitting,,COACHING INTENT,,Non-Contact Boxing Development Map (PPBF),true,true
{{PPBF_ORG_ID}},txf_7e69f6b86fe5d6,drl_0871d69fccd12f,,,cognitive_demand,Immediate feedback on rhythm and timing; athletes feel progress quickly,,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_1300dc75a78072,drl_7ede6fd588b652,,,neuro_mechanism,"Proprioception, postural control, and body awareness",,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_2d25115379d895,drl_7ede6fd588b652,,,life_skill_transfer,Self-control — transfers as: Hold structure under stress instead of getting scattered,,COACHING INTENT,,Non-Contact Boxing Development Map (PPBF),true,true
{{PPBF_ORG_ID}},txf_15ded717306b65,drl_7ede6fd588b652,,,cognitive_demand,"Creates an early sense of stability, readiness, and safety in training",,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_4bcf805068915c,drl_1663c21b8190f7,,,neuro_mechanism,"Motor planning, dynamic balance, and directional control",,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_b1181f6f49086f,drl_1663c21b8190f7,,,life_skill_transfer,Adaptability — transfers as: Adjust position with control rather than reacting emotionally,,COACHING INTENT,,Non-Contact Boxing Development Map (PPBF),true,true
{{PPBF_ORG_ID}},txf_74148b4c465011,drl_1663c21b8190f7,,,cognitive_demand,Makes ring movement feel strategic instead of random,,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_798224ef597497,drl_062b891d07f3d0,,,neuro_mechanism,"Rotational sequencing, spatial orientation, and balance",,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_e51e0847dd9f52,drl_062b891d07f3d0,,,life_skill_transfer,Problem-solving flexibility — transfers as: Change the angle instead of forcing the same answer,,COACHING INTENT,,Non-Contact Boxing Development Map (PPBF),true,true
{{PPBF_ORG_ID}},txf_0a511fd9ee4bb9,drl_062b891d07f3d0,,,cognitive_demand,Shows athletes how angles create smarter offense and defense,,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_e691860a9f9852,drl_5c656df84a75f1,,,neuro_mechanism,"Motor imagery, sequencing, self-monitoring, and error correction",,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_9c7433d9177deb,drl_5c656df84a75f1,,,life_skill_transfer,Deliberate practice — transfers as: Notice what is working and correct what is not,,COACHING INTENT,,Non-Contact Boxing Development Map (PPBF),true,true
{{PPBF_ORG_ID}},txf_f6baa164456bea,drl_5c656df84a75f1,,,cognitive_demand,"Builds ownership, creativity, and technical identity",,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_55866ace7db601,drl_c9a8e99033d5f8,,,neuro_mechanism,"Visual tracking, anticipation, inhibitory control, and reaction timing",,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_c6940c777dd441,drl_c9a8e99033d5f8,,,life_skill_transfer,"Decision-making under pressure — transfers as: Read first, move second, and avoid panic reactions",,COACHING INTENT,,Non-Contact Boxing Development Map (PPBF),true,true
{{PPBF_ORG_ID}},txf_979de92caeaffc,drl_c9a8e99033d5f8,,,cognitive_demand,Turns defense into an engaging read-and-react challenge,,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_ad51128fff001d,drl_1106cb43b41070,,,neuro_mechanism,"Motor chunking, force-transfer timing, and organized action under fatigue",,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_66553b63d9aafa,drl_1106cb43b41070,,,life_skill_transfer,Resilience — transfers as: Work through discomfort while keeping structure and breathing,,COACHING INTENT,,Non-Contact Boxing Development Map (PPBF),true,true
{{PPBF_ORG_ID}},txf_ed733ddcc39a3e,drl_1106cb43b41070,,,cognitive_demand,Tactile feedback and visible power make effort feel meaningful,,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_f3759f0d34cb87,drl_acbf7fb46ea883,,,neuro_mechanism,"Action switching, attentional control, and response selection",,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_2db1279fa588c9,drl_acbf7fb46ea883,,,life_skill_transfer,Emotional regulation — transfers as: Do the next right action instead of overreacting after a mistake,,COACHING INTENT,,Non-Contact Boxing Development Map (PPBF),true,true
{{PPBF_ORG_ID}},txf_efc37749bf14e0,drl_acbf7fb46ea883,,,cognitive_demand,Teaches athletes to attack and stay safe at the same time,,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_a099523653352a,drl_8b9d228a46162d,,,neuro_mechanism,"Predictive timing, hand-eye coordination, visual tracking, and anticipation",,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_328bf0f92eee4a,drl_8b9d228a46162d,,,life_skill_transfer,Patience and precision — transfers as: Calm observation improves results more than rushing,,COACHING INTENT,,Non-Contact Boxing Development Map (PPBF),true,true
{{PPBF_ORG_ID}},txf_e43caa6fa956c1,drl_8b9d228a46162d,,,cognitive_demand,The rebound creates a challenge-feedback loop that keeps athletes engaged,,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_7e0a104010b113,drl_9835dcfd1411c6,,,neuro_mechanism,"Bilateral coordination, cerebellar timing, and rapid patterning",cerebell,MECHANISM-THEORISED,,Non-Contact Boxing Development Map (PPBF),true,false
{{PPBF_ORG_ID}},txf_478be8ab161588,drl_9835dcfd1411c6,,,life_skill_transfer,"Concentration — transfers as: Stay locked in, recover quickly from small errors, sustain focus",,COACHING INTENT,,Non-Contact Boxing Development Map (PPBF),true,true
