"ModuleId","Name","CategoryKey","CategoryLabel","Status","Active","PromotionRequired","SourceVersion","Parent25Hint","ManualVerification"
"1","Athlete Profile System","coreAthleteSystem","Core Athlete System","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"2","Raw Observation Intake System","coreAthleteSystem","Core Athlete System","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"3","Safety Gate System","coreAthleteSystem","Core Athlete System","DONE","False","True","2.0.0-draft-merged","11 Safety Gate","PASSED"
"4","Performance Tracking System","coreAthleteSystem","Core Athlete System","DONE","False","True","2.0.0-draft-merged","8 Session Logging","PENDING_SIGN_OFF"
"5","Progression Decision System","coreAthleteSystem","Core Athlete System","DONE","False","True","2.0.0-draft-merged","5 Route Factory","PENDING_SIGN_OFF"
"6","Training Assignment System","coreAthleteSystem","Core Athlete System","DONE","False","True","2.0.0-draft-merged","5/6 Assignment & Skill","PENDING_SIGN_OFF"
"7","Session Builder","coreAthleteSystem","Core Athlete System","DONE","False","True","2.0.0-draft-merged","8 Session Logging","PENDING_SIGN_OFF"
"8","Coach Review System","coreAthleteSystem","Core Athlete System","DONE","False","True","2.0.0-draft-merged","10 Coach Review Queue","PASSED"
"9","Athlete Update System","coreAthleteSystem","Core Athlete System","DONE","False","True","2.0.0-draft-merged","9 Self-Report","PENDING_SIGN_OFF"
"10","Development Route System","coreAthleteSystem","Core Athlete System","DONE","False","True","2.0.0-draft-merged","5/7 Routing","PENDING_SIGN_OFF"
"11","Goal Management System","coreAthleteSystem","Core Athlete System","DONE","False","True","2.0.0-draft-merged","4 Goal Intake","PASSED"
"12","Roster / Participation System","coreAthleteSystem","Core Athlete System","DONE","False","True","2.0.0-draft-merged","2 Participant master","PENDING_SIGN_OFF"
"13","Physical Capacity Engine","physicalTrainingSystem","Physical Training System","DONE","False","True","2.0.0-draft-merged","Physical / 8 Sessions","PENDING_SIGN_OFF"
"14","Load Management Engine","physicalTrainingSystem","Physical Training System","DONE","False","True","2.0.0-draft-merged","Physical / load","PENDING_SIGN_OFF"
"15","Energy System Development Engine","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"16","Movement Quality Engine","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"17","Athleticism Engine","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"18","Strength Development Engine","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"19","Recovery Engine","physicalTrainingSystem","Physical Training System","DONE","False","True","2.0.0-draft-merged","Recovery","PENDING_SIGN_OFF"
"20","Physical Readiness Engine","physicalTrainingSystem","Physical Training System","DONE","False","True","2.0.0-draft-merged","11 Safety / sessions","PENDING_SIGN_OFF"
"21","Adaptation Engine","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"22","Injury-Risk Engine","physicalTrainingSystem","Physical Training System","DONE","False","True","2.0.0-draft-merged","11 Safety","PENDING_SIGN_OFF"
"23","Regression Library","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"24","Session Outcome Engine","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"25","Limiter Hierarchy Engine","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"26","Intervention Tracking Engine","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"27","Testing / Retest Engine","physicalTrainingSystem","Physical Training System","DONE","False","True","2.0.0-draft-merged","","PENDING_SIGN_OFF"
"28","Deload / Taper Engine","physicalTrainingSystem","Physical Training System","DONE","False","True","2.0.0-draft-merged","Physical / planning","PENDING_SIGN_OFF"
"29","Warm-Up / Prep Engine","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
"30","Cooldown / Recovery Routine Engine","physicalTrainingSystem","Physical Training System","DRAFT","False","True","2.0.0-draft-merged","","NOT_REQUIRED"
