organization_id,stop_rule_id,drill_id,ordinal,condition_text,scope,rule_kind
{{PPBF_ORG_ID}},stp_0a60ff4c505cac,drl_7f812fecacfee4,1,Stop when chasing replaces positioning.,universal,intent_drift
{{PPBF_ORG_ID}},stp_2626a2b2ed23ce,drl_7f812fecacfee4,2,Stop when the athlete is practicing the exact failure pattern the drill was meant to remove.,universal,technique_degradation
{{PPBF_ORG_ID}},stp_0f9dd19ead15cc,drl_7f812fecacfee4,3,Stop when coaching language becomes too long to be usable.,universal,intent_drift
{{PPBF_ORG_ID}},stp_7da55f0468747d,drl_7f812fecacfee4,4,Stop when fatigue breaks decision quality and the room is no longer learning the right lesson.,universal,fatigue
{{PPBF_ORG_ID}},stp_3b88a9bf68abd3,drl_7f812fecacfee4,5,Stop when assistant coaches cannot identify what the drill is for.,universal,coach_judgment
{{PPBF_ORG_ID}},stp_c9a19abac5d1ff,drl_7f812fecacfee4,6,Stop when exits become late on consecutive reps.,drill_specific,technique_degradation
{{PPBF_ORG_ID}},stp_454410aa312fc3,drl_7f812fecacfee4,7,Stop when the athlete is watching punches instead of leaving.,drill_specific,technique_degradation
{{PPBF_ORG_ID}},stp_d55ca126754007,drl_7f812fecacfee4,8,Stop when fatigue makes balance recovery unreliable.,drill_specific,fatigue
{{PPBF_ORG_ID}},stp_9d71f75ab19ea7,drl_7f812fecacfee4,9,Stop when the room starts treating the drill as volume chasing.,drill_specific,intent_drift
{{PPBF_ORG_ID}},stp_3ed6689acdac11,drl_2d0193a7c52e58,1,Stop when chasing replaces positioning.,universal,intent_drift
{{PPBF_ORG_ID}},stp_d7e19e708fed17,drl_2d0193a7c52e58,2,Stop when the athlete is practicing the exact failure pattern the drill was meant to remove.,universal,technique_degradation
{{PPBF_ORG_ID}},stp_e442821db9f39b,drl_2d0193a7c52e58,3,Stop when coaching language becomes too long to be usable.,universal,intent_drift
{{PPBF_ORG_ID}},stp_cd50abfcfced1c,drl_2d0193a7c52e58,4,Stop when fatigue breaks decision quality and the room is no longer learning the right lesson.,universal,fatigue
{{PPBF_ORG_ID}},stp_02cc4f57136933,drl_2d0193a7c52e58,5,Stop when assistant coaches cannot identify what the drill is for.,universal,coach_judgment
{{PPBF_ORG_ID}},stp_162df890add118,drl_2d0193a7c52e58,6,Stop when the athlete repeatedly breaks count.,drill_specific,coach_judgment
