capability_map_id,organization_id,capability_key,required_source_types,minimum_authority_tier,minimum_source_count,coverage_state,_usable,_boxing_usable,_boxing_ratio,_gaps,_contested,_feeder_tracks,_coverage_reason
cap_6f7b017936cd3638,{{PPBF_ORG_ID}},motor_learning_practice_design,{peer_reviewed},2,3,partial,64,11,0.157,3,6,A1,"70 claims, 11 boxing-specific (16%), 6 contested/insufficient; floor 20%"
cap_91d8fe7073485076,{{PPBF_ORG_ID}},coach_cue_feedback,{peer_reviewed},3,3,partial,64,11,0.157,3,6,A1,"70 claims, 11 boxing-specific (16%), 6 contested/insufficient; floor 20%"
cap_c467f555dc855826,{{PPBF_ORG_ID}},technical_curriculum,"{peer_reviewed,governing_body}",3,3,covered,92,46,0.46,3,8,A2,"100 claims, 46 boxing-specific (46%), 8 contested/insufficient; floor 20%"
cap_7ed2619618f4a558,{{PPBF_ORG_ID}},skill_assessment_rubrics,{peer_reviewed},3,3,covered,134,70,0.493,3,8,A2,"142 claims, 70 boxing-specific (49%), 8 contested/insufficient; floor 20%"
cap_31e077f31643c536,{{PPBF_ORG_ID}},stage_pathway_progression,"{governing_body,peer_reviewed}",2,3,covered,111,62,0.525,2,7,A3,"118 claims, 62 boxing-specific (53%), 7 contested/insufficient; floor 20%"
cap_11e2dc068be7764f,{{PPBF_ORG_ID}},regulatory_eligibility_reference,{governing_body},1,3,covered,201,134,0.612,11,18,A3|A6,"219 claims, 134 boxing-specific (61%), 18 contested/insufficient; floor 20%"
cap_cc4c766934fba144,{{PPBF_ORG_ID}},session_design_templates,"{peer_reviewed,governing_body}",3,3,covered,162,85,0.483,9,14,A3|B2,"176 claims, 85 boxing-specific (48%), 14 contested/insufficient; floor 20%"
cap_efe65e800f8daa23,{{PPBF_ORG_ID}},psychology_motivation,{peer_reviewed},2,3,partial,91,1,0.011,1,4,A4,"95 claims, 1 boxing-specific (1%), 4 contested/insufficient; floor 20%"
cap_cf598522e8a8f8f9,{{PPBF_ORG_ID}},life_skill_transfer,{peer_reviewed},2,3,partial,91,1,0.011,1,4,A4,"95 claims, 1 boxing-specific (1%), 4 contested/insufficient; floor 20%"
cap_405de5c4d4efd7cc,{{PPBF_ORG_ID}},safeguarding_boundaries,"{governing_body,clinical_guideline}",1,3,partial,227,28,0.115,10,16,A4|B1|B3,"243 claims, 28 boxing-specific (12%), 16 contested/insufficient; floor 20%"
cap_3e2efee0692aaae4,{{PPBF_ORG_ID}},physical_preparation,"{peer_reviewed,clinical_guideline}",2,3,covered,188,81,0.42,0,5,A5,"193 claims, 81 boxing-specific (42%), 5 contested/insufficient; floor 20%"
cap_8513610fe245683c,{{PPBF_ORG_ID}},load_monitoring,{peer_reviewed},2,3,covered,188,81,0.42,0,5,A5,"193 claims, 81 boxing-specific (42%), 5 contested/insufficient; floor 20%"
cap_06e2419eb2ed2bed,{{PPBF_ORG_ID}},injury_head_impact_risk,"{peer_reviewed,clinical_guideline}",1,3,covered,257,119,0.442,2,12,A5|A3,"269 claims, 119 boxing-specific (44%), 12 contested/insufficient; floor 20%"
cap_d6465b9daa29626e,{{PPBF_ORG_ID}},hand_wrapping_sop,{governing_body},1,3,covered,90,72,0.713,9,11,A6,"101 claims, 72 boxing-specific (71%), 11 contested/insufficient; floor 20%"
cap_9d50a4a3a31a5072,{{PPBF_ORG_ID}},equipment_specification,{governing_body},1,3,covered,90,72,0.713,9,11,A6,"101 claims, 72 boxing-specific (71%), 11 contested/insufficient; floor 20%"
cap_d22d619127e51b50,{{PPBF_ORG_ID}},corner_competition_craft,{governing_body},1,3,covered,90,72,0.713,9,11,A6,"101 claims, 72 boxing-specific (71%), 11 contested/insufficient; floor 20%"
cap_d624e2bcbc6ff94c,{{PPBF_ORG_ID}},performance_nutrition,"{clinical_guideline,peer_reviewed}",1,3,partial,72,10,0.128,2,6,A7,"78 claims, 10 boxing-specific (13%), 6 contested/insufficient; floor 20%"
cap_1b82cf7afffba890,{{PPBF_ORG_ID}},weight_management_safety,"{clinical_guideline,governing_body}",1,3,partial,72,10,0.128,2,6,A7,"78 claims, 10 boxing-specific (13%), 6 contested/insufficient; floor 20%"
cap_f8eb4b6d0158b3d4,{{PPBF_ORG_ID}},video_annotation_ontology,{peer_reviewed},3,3,covered,77,39,0.487,3,3,A8,"80 claims, 39 boxing-specific (49%), 3 contested/insufficient; floor 20%"
cap_49ca095dbd549667,{{PPBF_ORG_ID}},measurement_feasibility,{peer_reviewed},3,3,covered,77,39,0.487,3,3,A8,"80 claims, 39 boxing-specific (49%), 3 contested/insufficient; floor 20%"
cap_c30f7e2756a94151,{{PPBF_ORG_ID}},operating_models,{peer_reviewed},3,3,partial,80,13,0.153,5,5,B1,"85 claims, 13 boxing-specific (15%), 5 contested/insufficient; floor 20%"
cap_d2185f89c521a516,{{PPBF_ORG_ID}},staffing_supervision_ratios,"{governing_body,clinical_guideline}",1,3,covered,131,36,0.252,12,12,B2|B1,"143 claims, 36 boxing-specific (25%), 12 contested/insufficient; floor 20%"
cap_200e6c82c99fd440,{{PPBF_ORG_ID}},capacity_planning,{peer_reviewed},3,3,covered,51,23,0.397,7,7,B2,"58 claims, 23 boxing-specific (40%), 7 contested/insufficient; floor 20%"
cap_e9351cd50203fdbd,{{PPBF_ORG_ID}},gym_operations_sop,"{clinical_guideline,governing_body}",2,3,covered,56,14,0.222,4,7,B3,"63 claims, 14 boxing-specific (22%), 7 contested/insufficient; floor 20%"
cap_02ea4866bce925d5,{{PPBF_ORG_ID}},emergency_medical_response,{clinical_guideline},1,3,covered,56,14,0.222,4,7,B3,"63 claims, 14 boxing-specific (22%), 7 contested/insufficient; floor 20%"
cap_2aa7458853e350f8,{{PPBF_ORG_ID}},hygiene_infection_control,"{clinical_guideline,peer_reviewed}",2,3,covered,56,14,0.222,4,7,B3,"63 claims, 14 boxing-specific (22%), 7 contested/insufficient; floor 20%"
cap_d7ec145b92dfdadd,{{PPBF_ORG_ID}},kpi_success_measurement,{peer_reviewed},3,3,covered,36,17,0.395,6,7,B4,"43 claims, 17 boxing-specific (40%), 7 contested/insufficient; floor 20%"
cap_710a45fd46b84493,{{PPBF_ORG_ID}},retention_analysis,{peer_reviewed},3,3,covered,36,17,0.395,6,7,B4,"43 claims, 17 boxing-specific (40%), 7 contested/insufficient; floor 20%"
cap_26da87a2da342b9e,{{PPBF_ORG_ID}},finance_sustainability,"{peer_reviewed,governing_body}",3,3,partial,57,1,0.017,0,3,B5,"60 claims, 1 boxing-specific (2%), 3 contested/insufficient; floor 20%"
cap_6527293a3002e1f7,{{PPBF_ORG_ID}},operational_data_model,{internal_policy},3,3,partial,81,10,0.11,10,10,B6,"91 claims, 10 boxing-specific (11%), 10 contested/insufficient; floor 20%"
