organization_id,template_id,lineage_id,version,supersedes_template_id,superseded_at,name,session_type,difficulty,age_band,duration_minutes,intent,coach_notes,requires_coach_authorization,active,created_by_account_id,created_by_role
{{PPBF_ORG_ID}},wtp_216dfa4227233d,wtp_216dfa4227233d,1,,,Intro to Boxing — Session 1,technical,beginner,youth_and_adult,45,"First exposure: establish a base, a guard, and one punch. No contact beyond a held mitt.","Deliberately short on content. First sessions fail from volume, not from too little material.",False,True,{{SEED_ACCOUNT_ID}},platform_owner
{{PPBF_ORG_ID}},wtp_98af8ee68020d0,wtp_98af8ee68020d0,1,,,Beginner Footwork,footwork,beginner,youth_and_adult,45,Build step-drag and lateral movement before any punch is attached to them.,,False,True,{{SEED_ACCOUNT_ID}},platform_owner
{{PPBF_ORG_ID}},wtp_b35f1273aa79bd,wtp_b35f1273aa79bd,1,,,Beginner Straight Punches,technical,beginner,youth_and_adult,50,"Jab and cross from a stable base, with the weight transfer taught before the rear hand.",,False,True,{{SEED_ACCOUNT_ID}},platform_owner
{{PPBF_ORG_ID}},wtp_f35ff87b3529ab,wtp_f35ff87b3529ab,1,,,Intermediate Movement and Angles,footwork,intermediate,any,60,Pivot and angle-cutting against a moving reference.,,False,True,{{SEED_ACCOUNT_ID}},platform_owner
{{PPBF_ORG_ID}},wtp_e3c1f50475379b,wtp_e3c1f50475379b,1,,,Intermediate Combinations — Random Practice,technical,intermediate,any,60,"Combination work with sequences called at random rather than blocked, following the contextual-interference retention evidence.",Random calling is deliberate. Blocked practice looks better in the session and retains worse — though note the contextual-interference evidence is contested in applied settings.,False,True,{{SEED_ACCOUNT_ID}},platform_owner
{{PPBF_ORG_ID}},wtp_46173e84b09d7c,wtp_46173e84b09d7c,1,,,Defensive Foundations,defense,intermediate,any,55,"Catch, parry, slip and roll at controlled speed, each linked back to guard.",,False,True,{{SEED_ACCOUNT_ID}},platform_owner
{{PPBF_ORG_ID}},wtp_1123d6411a2e60,wtp_1123d6411a2e60,1,,,Conditioned Sparring Session,sparring,intermediate,any,60,Single-task conditioned sparring with defined roles. Requires coach authorization and confirmed eligibility.,"No sparring volume is prescribed. The coach sets rounds and intensity in person, against this athlete on this day, with medical and eligibility status confirmed by qualified humans.",True,True,{{SEED_ACCOUNT_ID}},platform_owner
{{PPBF_ORG_ID}},wtp_f4f4d54c39a219,wtp_f4f4d54c39a219,1,,,Adaptive Session — Seated Base,technical,beginner,any,40,"Technical boxing from a seated or supported base, with range set to the athlete.",Not a reduced version of a standing session. Base is defined with the athlete; the technical target is the same.,False,True,{{SEED_ACCOUNT_ID}},platform_owner
{{PPBF_ORG_ID}},wtp_cfb86f25abfa16,wtp_cfb86f25abfa16,1,,,Non-Contact Fitness Boxing,conditioning,beginner,adult,45,"Boxing-style conditioning for participants not pursuing contact. A complete lane, not a preparatory stage.",,False,True,{{SEED_ACCOUNT_ID}},platform_owner
{{PPBF_ORG_ID}},wtp_7d4394c5d4fe32,wtp_7d4394c5d4fe32,1,,,Strength and Power Support,strength,intermediate,adult,50,"Off-floor strength supporting boxing demands, balancing the pushing volume boxing accumulates.",Horizontal pull is included specifically to offset punching and pressing volume.,False,True,{{SEED_ACCOUNT_ID}},platform_owner
{{PPBF_ORG_ID}},wtp_d15fb20ba517cf,wtp_d15fb20ba517cf,1,,,Advanced Tactical Problem Solving,tactical,advanced,any,65,Imposed tactical problems with the athlete identifying and addressing them.,,True,True,{{SEED_ACCOUNT_ID}},platform_owner
{{PPBF_ORG_ID}},wtp_ff74bd014f77b2,wtp_ff74bd014f77b2,1,,,Youth Session — Movement and Play,technical,beginner,youth,40,Youth-appropriate session prioritising movement variety and engagement over technical volume.,Content is deliberately light. Youth retention is an engagement problem before it is a technical one.,False,True,{{SEED_ACCOUNT_ID}},platform_owner
